username,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-06,2024-01-07,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-13,2024-01-14,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-20,2024-01-21,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-27,2024-01-28,2024-01-29,2024-01-30
HomabiorKro,2500,2514,2530,2550,2544,2563,2545,2545,2545,2545,2545,2548,2551,2557,2561,2566,2566,2566,2562,2562,2562,2562,2562,2562,2562,2562,2578,2584,2584,2584
Sharkfang,2491,2491,2491,2491,2491,2499,2499,2499,2499,2499,2499,2500,2500,2500,2500,2500,2500,2500,2509,2509,2509,2509,2509,2520,2520,2534,2534,2546,2546,2546
strategyforchess,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2513,2510,2510,2510,2510,2510,2523,2523,2523,2523,2528,2528,2528,2528,2528,2528,2543
OjaiJoao,2520,2520,2523,2523,2524,2526,2526,2526,2526,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2535,2541,2541,2542,2532,2532,2532,2532,2532,2534,2534
igormezentsev,2493,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494,2497,2497,2497,2497,2497,2497,2501,2501,2501,2501,2501,2501,2501,2500,2500,2500
naytatel,2489,2489,2475,2448,2448,2448,2448,2448,2455,2455,2455,2455,2440,2458,2468,2468,2468,2468,2468,2468,2475,2475,2475,2475,2475,2475,2480,2480,2480,2480
ChessKeep,2263,2297,2288,2323,2339,2337,2342,2369,2377,2403,2428,2435,2434,2454,2452,2451,2471,2475,2480,2475,2478,2489,2495,2490,2486,2477,2481,2482,2487,2477
ChessTheory64,2480,2480,2480,2480,2480,2480,2480,2460,2460,2460,2460,2460,2452,2440,2440,2440,2440,2440,2440,2440,2440,2440,2445,2450,2450,2468,2468,2468,2468,2468
Thorwald5,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2454,2468,2468,2468,2468,2468,2468
lion2006-45,2448,2448,2448,2476,2476,2482,2482,2482,2482,2482,2460,2460,2462,2462,2462,2465,2465,2465,2465,2465,2475,2475,2478,2478,2478,2478,2478,2478,2454,2457
